43# Number of electrodes
# x z
0	0
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
26	0
28	0
30	0
32	0
34	0
36	0
38	0
40	0
42	0
44	0
46	0
48	0
50	0
52	0
54	0
56	0
58	0
60	0
62	0
64	0
66	0
68	0
70	0
72	0
74	0
76	0
78	0
80	0
82	0
84	0
446 #Number of data
#a	b	m	n	rhoa	err
 31.0	33.0	42.0	43.0	80.37	0.2
 13.0	17.0	23.0	29.0	210.39	0.2
 17.0	21.0	27.0	33.0	104.33	0.2
 21.0	25.0	31.0	37.0	11.97	0.2
 25.0	29.0	35.0	41.0	3.82	0.2
 1.0	5.0	13.0	17.0	14.81	0.2
 5.0	9.0	17.0	21.0	10.75	0.2
 9.0	13.0	21.0	25.0	12.49	0.2
 13.0	17.0	25.0	29.0	5.75	0.2
 1.0	3.0	14.0	15.0	60.54	0.2
 2.0	4.0	15.0	16.0	59.69	0.2
 3.0	5.0	16.0	17.0	41.33	0.2
 4.0	6.0	17.0	18.0	31.46	0.2
 5.0	7.0	18.0	19.0	21.98	0.2
 6.0	8.0	19.0	20.0	17.02	0.2
 7.0	9.0	20.0	21.0	34.77	0.2
 8.0	10.0	21.0	22.0	31.84	0.2
 9.0	11.0	22.0	23.0	22.09	0.2
 10.0	12.0	23.0	24.0	20.03	0.2
 12.0	13.0	24.0	26.0	6490.11	0.2
 11.0	13.0	24.0	25.0	9.42	0.2
 13.0	14.0	25.0	27.0	6147.25	0.2
 14.0	15.0	26.0	28.0	6262.18	0.2
 15.0	16.0	27.0	29.0	3014.15	0.2
 16.0	17.0	28.0	30.0	787.45	0.2
 17.0	18.0	29.0	31.0	305.55	0.2
 18.0	19.0	30.0	32.0	173.41	0.2
 19.0	20.0	31.0	33.0	121.49	0.2
 20.0	21.0	32.0	34.0	47.16	0.2
 21.0	22.0	33.0	35.0	44.08	0.2
 22.0	23.0	34.0	36.0	40.3	0.2
 23.0	24.0	35.0	37.0	25.39	0.2
 24.0	25.0	36.0	38.0	8.45	0.2
 25.0	26.0	37.0	39.0	0.68	0.2
 24.0	26.0	37.0	38.0	5464.01	0.2
 25.0	27.0	38.0	39.0	7699.45	0.2
 26.0	28.0	39.0	40.0	3674.47	0.2
 27.0	29.0	40.0	41.0	1316.66	0.2
 28.0	30.0	41.0	42.0	653.22	0.2
 29.0	31.0	42.0	43.0	496.12	0.2
 1.0	5.0	15.0	17.0	29.38	0.2
 3.0	7.0	17.0	19.0	16.2	0.2
 5.0	9.0	19.0	21.0	12.98	0.2
 7.0	11.0	21.0	23.0	19.59	0.2
 11.0	13.0	23.0	27.0	427.32	0.2
 9.0	13.0	23.0	25.0	12.35	0.2
 13.0	15.0	25.0	29.0	3911.42	0.2
 15.0	17.0	27.0	31.0	932.18	0.2
 17.0	19.0	29.0	33.0	104.86	0.2
 19.0	21.0	31.0	35.0	46.13	0.2
 21.0	23.0	33.0	37.0	24.39	0.2
 23.0	25.0	35.0	39.0	6.0	0.2
 25.0	27.0	37.0	41.0	0.25	0.2
 23.0	27.0	37.0	39.0	378.43	0.2
 25.0	29.0	39.0	41.0	1660.76	0.2
 27.0	31.0	41.0	43.0	783.02	0.2
 9.0	13.0	23.0	29.0	536.31	0.2
 13.0	17.0	27.0	33.0	453.97	0.2
 17.0	21.0	31.0	37.0	25.9	0.2
 21.0	25.0	35.0	41.0	8.83	0.2
 1.0	5.0	17.0	21.0	17.51	0.2
 5.0	9.0	21.0	25.0	19.23	0.2
 9.0	13.0	25.0	29.0	4.82	0.2
 1.0	5.0	19.0	21.0	18.15	0.2
 3.0	7.0	21.0	23.0	14.97	0.2
 7.0	9.0	23.0	27.0	1202.49	0.2
 5.0	9.0	23.0	25.0	22.68	0.2
 9.0	11.0	25.0	29.0	8977.6	0.2
 11.0	13.0	27.0	31.0	1840.63	0.2
 13.0	15.0	29.0	33.0	387.36	0.2
 15.0	17.0	31.0	35.0	153.09	0.2
 17.0	19.0	33.0	37.0	58.85	0.2
 19.0	21.0	35.0	39.0	31.49	0.2
 21.0	23.0	37.0	41.0	14.69	0.2
 23.0	27.0	41.0	43.0	1062.0	0.2
 5.0	9.0	23.0	29.0	1393.58	0.2
 9.0	13.0	27.0	33.0	853.0	0.2
 13.0	17.0	31.0	37.0	86.87	0.2
 17.0	21.0	35.0	41.0	19.19	0.2
 1.0	5.0	21.0	25.0	1.41	0.2
 3.0	5.0	23.0	27.0	2045.37	0.2
 5.0	7.0	25.0	29.0	16382.69	0.2
 7.0	9.0	27.0	31.0	4284.08	0.2
 5.0	9.0	27.0	29.0	30.94	0.2
 9.0	11.0	29.0	33.0	768.97	0.2
 7.0	11.0	29.0	31.0	13.67	0.2
 11.0	13.0	31.0	35.0	244.23	0.2
 13.0	15.0	33.0	37.0	185.87	0.2
 15.0	17.0	35.0	39.0	107.01	0.2
 17.0	19.0	37.0	41.0	36.32	0.2
 19.0	21.0	39.0	43.0	29.35	0.2
 1.0	5.0	23.0	29.0	2291.17	0.2
 5.0	9.0	27.0	33.0	1896.71	0.2
 9.0	13.0	31.0	37.0	157.1	0.2
 13.0	17.0	35.0	41.0	55.77	0.2
 1.0	5.0	25.0	29.0	14.26	0.2
 5.0	9.0	29.0	33.0	46.46	0.2
 1.0	3.0	25.0	29.0	28057.31	0.2
 3.0	5.0	27.0	31.0	6418.34	0.2
 5.0	7.0	29.0	33.0	1266.17	0.2
 7.0	9.0	31.0	35.0	636.55	0.2
 5.0	9.0	31.0	33.0	112.61	0.2
 9.0	11.0	33.0	37.0	355.83	0.2
 7.0	11.0	33.0	35.0	7.7	0.2
 11.0	13.0	35.0	39.0	166.02	0.2
 13.0	15.0	37.0	41.0	105.24	0.2
 15.0	17.0	39.0	43.0	77.31	0.2
 1.0	5.0	29.0	37.0	654.92	0.2
 5.0	9.0	33.0	41.0	218.71	0.2
