Pos      Prof       R (d)    R (i)    Rstima
60.      10.      -0.00497 -3.99805 -0.78075
64.      10.           nan -0.78075 -0.78075
68.      10.           nan -0.50967 -0.50967
76.      10.           nan -0.07195 -0.07195
80.      10.           nan -0.10838 -0.10838
13.      10.5          nan -0.02412 -0.02412
15.      10.5          nan -0.01564 -0.01564
17.      10.5          nan -0.03049 -0.03049
19.      10.5          nan -0.00135 -0.00135
21.      10.5          nan -0.01861 -0.01861
23.      10.5          nan -0.07942 -0.07942
25.      10.5          nan -0.05077 -0.05077
27.      10.5          nan -0.02464 -0.02464
29.      10.5          nan -0.02759 -0.02759
31.      10.5          nan -0.03231 -0.03231
33.      10.5          nan -0.01416 -0.01416
35.      10.5          nan -0.02192 -0.02192
37.      10.5     -2.41003      nan -2.41003
37.      10.5          nan -0.00433 -0.00433
39.      10.5     -0.06626      nan -0.06626
39.      10.5          nan -0.00016 -0.00016
41.      10.5     -0.29009      nan -0.29009
43.      10.5     -0.27296      nan -0.27296
45.      10.5     -0.15177      nan -0.15177
47.      10.5     -0.07938      nan -0.07938
49.      10.5     -0.06379      nan -0.06379
51.      10.5     -0.01243      nan -0.01243
53.      10.5     -0.00919      nan -0.00919
55.      10.5     -0.00201      nan -0.00201
57.      10.5     -0.00085      nan -0.00085
59.      10.5     -0.00497      nan -0.00497
59.      10.5          nan -2.82421 -2.82421
61.      10.5     -0.00693      nan -0.00693
61.      10.5          nan -4.06562 -4.06562
63.      10.5          nan -0.52384 -0.52384
65.      10.5          nan -0.78722 -0.78722
67.      10.5          nan -0.78907 -0.78907
69.      10.5          nan -0.41148 -0.41148
71.      10.5          nan -0.43252 -0.43252
75.      10.5          nan -0.14017 -0.14017
77.     10.5        nan -0.0601 -0.0601
79.      10.5          nan -0.01285 -0.01285
81.     10.5        nan -0.1058 -0.1058
83.      10.5          nan -0.21811 -0.21811
38.      11.      -0.60383      nan -0.60383
46.     11.     -0.3186     nan -0.3186
54.      11.      -0.03467      nan -0.03467
62.      11.      -0.03905      nan -0.03905
70.      11.      -0.09371      nan -0.09371
16.      12.           nan -0.06976 -0.06976
24.      12.           nan -0.03423 -0.03423
32.      12.           nan -0.05012 -0.05012
64.      12.           nan -2.30254 -2.30254
72.      12.           nan -0.68563 -0.68563
15.      12.5          nan -0.01668 -0.01668
17.      12.5          nan -0.00051 -0.00051
19.     12.5        nan -0.0324 -0.0324
23.      12.5          nan -0.00661 -0.00661
25.      12.5          nan -0.10448 -0.10448
27.      12.5          nan -0.03236 -0.03236
29.      12.5          nan -0.00864 -0.00864
31.      12.5          nan -0.02161 -0.02161
33.      12.5          nan -0.00845 -0.00845
35.      12.5     -1.90873      nan -1.90873
35.      12.5          nan -0.00841 -0.00841
